연번,자치구,도서관명,개방시간,종료시간,주말 이용시간,도로명주소,경도,위도,휴관일
161,은평구,증산정보도서관,09:00,22:00,09:00~18:00,서울특별시 은평구 증산로5길 6,126.9076713,37.58280944,"매주 금요일, 법정공휴일"
162,은평구,은뜨락도서관,09:00,22:00,09:00~18:00,서울특별시 은평구 통일로 972,126.9199163,37.63017584,"매주 월요일, 법정공휴일"
163,종로구,아름꿈도서관,10:00,19:00,10:00~19:00,서울특별시 종로구 종로58가길 19,127.0171175,37.57269632,"매주 일요일, 1월1일, 설연휴, 추석연휴"
164,종로구,청운문학도서관,10:00,21:00,10:00~19:00,서울특별시 종로구 자하문로36길 40,126.9659186,37.59037743,"매주 월요일, 1월1일, 설연휴, 추석연휴 "
165,종로구,어린이청소년 국학도서관,10:00,21:00,10:00~19:00,서울특별시 종로구 명륜길 26,126.9955402,37.58868588,"매주 일요일, 법정공휴일"
166,중구,서울도서관,09:00,21:00,09:00~18:00 ,서울특별시 중구 세종대로 110 태평로1가,126.9778292,37.56631742,월요일 및 법정공휴일
167,중구,가온도서관,09:00,22:00,09:00~22:00,서울특별시 중구 동호로14길 18,127.0108377,37.55638543,매주 월요일 및 법정공휴일(일요일제외)
168,중구,남산타운어린이도서관,09:00,22:00,09:00~18:00,서울특별시 중구 다산로 32,127.0057062,37.54715055,"2.4주 일요일, 1.3.5주 월요일, 법정공휴일"
169,중구,어울림도서관,09:00,22:00,09:00~22:00,서울특별시 중구 다산로38길 66-35,127.0189303,37.56172254,매주 월요일 및 법정공휴일(일요일제외)
170,중구,손기정어린이도서관,09:00,22:00,09:00~18:00,서울특별시 중구 손기정로 101-1,126.9646417,37.55519744,매주 월요일 및 법정공휴일(일요일 제외)
171,중구,신당누리도서관,09:00,22:00,09:00~18:00,서울특별시 중구 다산로 33길 3 1층 ,127.014445,37.56201888,"매주 일요일, 법정공휴일"
172,중구,다산성곽도서관,09:00,22:00,09:00~22:00,서울특별시 중구 동호로17길 173,127.0043894,37.55163335,매주 월요일 및 법정공휴일(일요일제외)
173,중구,손기정문화도서관,09:00,22:00,09:00~22:00,서울특별시 중구 손기정로 101-3,126.9645377,37.55592073,매주 월요일 및 법정공휴일(일요일제외)
174,중랑구,양원숲속도서관,09:00,18:00,09:00∼17:00,서울특별시 중랑구 송림길 172(망우동),127.1106972,37.60686128,"매주 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(8월12일)"
175,중랑구,중랑구립면목정보도서관,09:00,22:00,09:00~17:00,서울특별시 중랑구 면목로 397(면목동),127.0875552,37.58735561,"매월 쳇째, 셋째 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(8월12일)"
176,중랑구,중랑구립정보도서관,09:00,22:00,09:00~17:00,서울특별시 중랑구 신내로15길 197(묵동),127.0869064,37.61517057,"매월 둘째, 넷째 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(8월12일)"
177,중랑구,중랑숲어린이도서관,09:00,18:00,09:00~17:00,서울특별시 중랑구 망우로73길 46-1(망우동),127.1039284,37.60266819,"매주 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(8월12일)"
178,중랑구,중랑상봉도서관,09:00,22:00,09:00~17:00,서울특별시 중랑구 동일로114길 10(상봉동),127.0808518,37.59289195,"매주 월요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(8월12일)"
179,중랑구,중화어린이도서관,09:00,18:00,10:00~17:00,서울특별시 중랑구 중랑역로3길 28(중화동),127.0748913,37.59501897,"매주 일요일, 법정공휴일 및 근로자의날(5월1일), 창립기념일(8월12일)"
