순번,쉼터명칭,도로명주소,지번주소,시설유형,이용가능인원,운영시작일,개방시간,종료시간,경도,위도,연도,X좌표,Y좌표,자치구
1090,주흥경로당,서울특별시 서초구 신반포로47길 51-6 ,서울특별시 서초구 잠원동 35-14,노인시설,15,2023-11-15,09:00:00,18:00:00,127.0180649,37.5124611,2024,201597.1313,545887.2988,서초구
858,항동주민센터,서울 구로구 연동로 191-19,서울특별시 구로구 항동 135-34,주민센터,20,2022-12-01,09:00:00,18:00:00,126.8223739,37.4790514,2024,184288.9398,542193.923,구로구
859,우정경로당,서울특별시 금천구 두산로3길 49,서울특별시 금천구 가산동 238-3,노인시설,30,2022-11-15,13:00:00,17:00:00,126.8887136,37.4726933,2024,190155.8666,541479.2571,금천구
860,가산동주민센터,서울특별시 금천구 가산동 가산로  129   (가산동),서울특별시 금천구 가산동 144-3,주민센터,30,2019-05-20,09:00:00,21:00:00,126.8925111,37.4796498,2024,190492.666,542250.9454,금천구
861,금천한내어르신복지센터,서울특별시 금천구 한내로 69-15 ,서울특별시 금천구 독산동 1088-1,복지회관,30,2023-11-15,09:00:00,18:00:00,126.8868381,37.4579121,2024,189987.9934,539838.942,금천구
862,복지경로당,서울특별시 금천구 벚꽃로10길 94,서울특별시 금천구 독산동 1010,노인시설,40,2022-11-15,13:00:00,17:00:00,126.895285,37.464581,2024,190736.1564,540578.2347,금천구
863,독산1동주민센터,서울특별시 금천구 독산동 시흥대로123길  11   (독산동),서울특별시 금천구 독산동 289-5,주민센터,100,2019-05-20,09:00:00,21:00:00,126.8977677,37.4729698,2024,190956.8046,541509.0369,금천구
864,참새경로당,서울특별시 금천구 한내로 55,서울특별시 금천구 독산동 1088-2,노인시설,20,2022-11-15,13:00:00,17:00:00,126.8871923,37.4569561,2024,190019.2042,539732.8015,금천구
865,독산2동 어르신쉼터,서울특별시 금천구 독산로67길 32,서울특별시 금천구 독산동 1036-37,노인시설,15,2023-11-15,09:00:00,18:00:00,126.9008043,37.4646058,2024,191224.4365,540580.4587,금천구
866,정훈경로당,서울특별시 금천구 독산로64길 79,서울특별시 금천구 독산동 378-21,노인시설,20,2022-11-15,13:00:00,17:00:00,126.906432,37.466802,2024,191722.5455,540823.6976,금천구
867,독산2동주민센터,서울특별시 금천구 범안로 1240-7,서울특별시 금천구 독산동 1035-13,주민센터,30,2019-05-20,09:00:00,21:00:00,126.9004852,37.4688518,2024,191196.7045,541051.7369,금천구
868,만수경로당,서울특별시 금천구 시흥대로90길 60-3,서울특별시 금천구 독산동 1063-14,노인시설,20,2022-11-15,13:00:00,17:00:00,126.900969,37.4628214,2024,191238.7988,540382.3992,금천구
869,목화경로당,서울특별시 금천구 문성로7가길 14,서울특별시 금천구 독산동 883-4,노인시설,20,2022-11-15,13:00:00,17:00:00,126.9065305,37.4775441,2024,191732.4425,542015.9176,금천구
870,독산3동주민센터,서울특별시 금천구 독산로 317,서울특별시 금천구 독산동 973-17,주민센터,100,2019-05-20,09:00:00,21:00:00,126.9031352,37.475154,2024,191431.8487,541750.952,금천구
871,금천호암노인 종합복지관,서울특별시 금천구 독산로72길 86-5 ,서울특별시 금천구 독산동 917-6,복지회관,30,2023-11-15,09:00:00,18:00:00,126.9064289,37.4695426,2024,191722.5734,541127.8674,금천구
872,정심경로당,서울특별시 금천구 독산로75길 12-7,서울특별시 금천구 독산동 196-8,노인시설,20,2022-11-15,13:00:00,17:00:00,126.9016703,37.4693669,2024,191301.6007,541108.796,금천구
